concurrency,pace_ms,server_delay_ms,repetition,offered_rps,actual_rps,wall_ms,drain_ms,samples,avg_lock_us,p50_lock_us,p95_lock_us,p99_lock_us,avg_query_us,p50_query_us,p99_query_us,p50_scheduled_to_done_us,p99_scheduled_to_done_us
1,closed,0,1,inf,55115.83,5002.21,2.21,275701,0,0,0,0,17,17,26,17,26
10,closed,0,1,inf,53480.83,5002.91,2.91,267560,167,163,209,249,17,17,27,181,276
100,closed,0,1,inf,52182.92,5004.11,4.11,261129,1895,1836,2252,2652,18,18,31,1854,2675
1000,closed,0,1,inf,54792.45,5019.89,19.89,275052,18190,18049,20693,22375,17,17,27,18067,22396
1,1000,0,1,1.00,1.00,5000.00,0.00,5,0,1,1,1,203,177,242,1091,1599
10,1000,0,1,10.00,10.00,5000.00,0.00,50,0,0,1,1,222,204,406,1763,2219
100,1000,0,1,100.00,100.00,5000.00,0.00,500,0,0,0,1,152,158,356,1707,2236
1000,1000,0,1,1000.00,999.82,5000.91,0.91,5000,1,0,22,34,34,28,105,1398,1930
1,200,0,1,5.00,5.00,5000.00,0.00,25,0,0,1,1,369,363,457,1875,2292
10,200,0,1,50.00,50.00,5000.00,0.00,250,0,0,1,1,244,246,338,1669,2175
100,200,0,1,500.00,500.00,5000.00,0.00,2500,1,0,0,1,83,61,466,775,1463
1000,200,0,1,5000.00,4998.95,5001.05,1.05,25000,4829,74,38485,78113,57,23,989,1286,79273
