concurrency,pace_ms,server_delay_ms,repetition,offered_rps,actual_rps,wall_ms,drain_ms,samples,avg_lock_us,p50_lock_us,p95_lock_us,p99_lock_us,avg_query_us,p50_query_us,p99_query_us,p50_scheduled_to_done_us,p99_scheduled_to_done_us
1,closed,0,1,inf,46493.96,2000.71,0.71,93021,0,0,0,0,20,20,39,20,39
1,closed,0,2,inf,54376.06,2001.34,1.34,108825,0,0,0,0,17,17,31,17,31
10,closed,0,1,inf,49357.86,2001.50,1.50,98790,181,174,244,316,19,19,35,194,347
10,closed,0,2,inf,51079.14,2001.64,1.64,102242,175,168,229,304,18,18,33,186,334
100,closed,0,1,inf,47714.63,2002.99,2.99,95572,2072,2043,2540,2815,20,19,39,2063,2838
100,closed,0,2,inf,51485.07,2003.20,3.20,103135,1920,1852,2415,2823,18,18,32,1870,2848
1000,closed,0,1,inf,42277.57,2139.36,139.36,90447,23335,18995,44242,195876,22,18,52,19013,195914
1000,closed,0,2,inf,47239.80,2019.57,19.57,95404,21032,19806,37407,42667,20,18,46,19825,42708
1,1000,0,1,1.00,1.00,2000.00,0.00,2,0,0,0,0,417,251,251,261,261
1,1000,0,2,1.00,1.00,2000.00,0.00,2,1,1,1,1,592,526,526,696,696
10,1000,0,1,10.00,10.00,2000.00,0.00,20,1,1,3,3,546,513,760,1968,2412
10,1000,0,2,10.00,10.00,2000.00,0.00,20,0,1,1,1,372,367,449,1353,1831
100,1000,0,1,100.00,100.00,2000.00,0.00,200,0,1,1,2,399,386,886,1395,2389
100,1000,0,2,100.00,100.00,2000.00,0.00,200,2,1,4,13,702,411,5365,1513,7429
1000,1000,0,1,1000.00,999.53,2000.94,0.94,2000,14,0,55,128,84,71,203,1549,2220
1000,1000,0,2,1000.00,999.88,2000.25,0.25,2000,4,0,33,122,73,65,177,1379,2022
1,200,0,1,5.00,5.00,2000.00,0.00,10,0,1,1,1,625,632,649,1854,1899
1,200,0,2,5.00,5.00,2000.00,0.00,10,1,1,1,1,514,487,573,1177,1619
10,200,0,1,50.00,50.00,2000.00,0.00,100,1,1,3,8,572,562,925,1720,2541
10,200,0,2,50.00,50.00,2000.00,0.00,100,0,0,1,1,218,200,432,1271,1936
100,200,0,1,500.00,500.00,2000.00,0.00,1000,0,0,0,0,49,43,135,1205,1707
100,200,0,2,500.00,500.00,2000.00,0.00,1000,0,0,0,0,52,39,178,1176,1695
1000,200,0,1,5000.00,4998.37,2000.65,0.65,10000,58,55,149,198,22,21,59,1111,2018
1000,200,0,2,5000.00,4997.36,2001.06,1.06,10000,64,61,160,211,23,21,60,1176,2087
