concurrency,pace_ms,server_delay_ms,repetition,offered_rps,actual_rps,wall_ms,drain_ms,samples,avg_lock_us,p50_lock_us,p95_lock_us,p99_lock_us,avg_query_us,p50_query_us,p99_query_us,p50_scheduled_to_done_us,p99_scheduled_to_done_us
1,closed,1,1,inf,489.95,1000.10,0.10,490,0,0,0,0,2040,2090,2138,2090,2138
10,closed,1,1,inf,483.16,1018.29,18.29,492,18433,18826,19085,19147,2068,2092,2188,20916,21246
100,closed,1,1,inf,479.47,1207.59,207.59,579,188620,205754,208735,210321,2083,2110,2199,207805,212431
1000,closed,1,1,inf,484.35,3066.00,2066.00,1485,1369079,1532582,2071985,2073744,2062,2092,2181,1534672,2075834
1,1000,1,1,1.00,1.00,1000.00,0.00,1,1,1,1,1,2635,2635,2635,2657,2657
10,1000,1,1,10.00,10.00,1000.00,0.00,10,0,0,0,0,2176,2367,2418,3491,4015
100,1000,1,1,100.00,100.00,1000.00,0.00,100,0,0,1,1,2158,2224,2402,2861,3370
1000,1000,1,1,1000.00,483.72,2067.29,1067.29,1000,531108,531644,1009629,1053526,2064,2095,2236,534659,1057074
1,200,1,1,5.00,5.00,1000.00,0.00,5,0,0,1,1,2492,2540,2545,3535,3890
10,200,1,1,50.00,50.00,1000.00,0.00,50,0,0,0,0,2176,2257,2343,3474,3932
100,200,1,1,500.00,485.60,1029.64,29.64,500,13561,13588,26394,28387,2057,2093,2174,15945,31137
1000,200,1,1,5000.00,483.14,10348.94,9348.94,5000,1835566,2063726,2087658,2094065,2068,2104,2244,4652306,9253831
